ID,VWO EG1,VWO EG2,VWO EG3,VWO EG4,VWO EG5,VWO EG6,Doorlopend?,HAVO EG1,HAVO EG2,HAVO EG3,HAVO EG4,HAVO EG5,Doorlopend?,,MAVO EG1,MAVO EG2,MAVO EG3,MAVO EG4,Doorlopend?
2919564,,,8.114705882,7.58,7.409090909,7.575,FALSE,,,,,,FALSE,,,,,,FALSE
2919933,,,,,,,FALSE,,,6.440666667,6.145454545,5.981818182,FALSE,,,,,,FALSE
2920056,,,,,,,FALSE,,,6.295333333,5.963636364,6.054545455,FALSE,,,,,,FALSE
2920917,,,,,,,FALSE,,,6.832666667,6.127272727,6.045454545,FALSE,,,,,,FALSE
2921040,,,,,,,FALSE,,,,,,FALSE,,,,6.336363636,6.4,FALSE
2921163,,,6.813333333,6.666666667,6.363636364,6.5,FALSE,,,,,,FALSE,,,,,,FALSE
2921286,,,,,,,FALSE,,,6.35,5.990909091,5.918181818,FALSE,,,,,,FALSE
2921409,,,,,,,FALSE,,,,,,FALSE,,,,6.366666667,6.3,FALSE
2921532,,,,,,,FALSE,,,6.267333333,,,FALSE,,,,,,FALSE
2921655,,,,,,,FALSE,,,,6.288888889,6.1,FALSE,,,,,,FALSE
2922885,,,6.094666667,,,,FALSE,,,,6.7,6.941666667,FALSE,,,,,,FALSE
2923992,,,,,6.563636364,6.509090909,FALSE,,,,,,FALSE,,,,,,FALSE
2926821,,,6.69625,4.377777778,,,FALSE,,,,5.963636364,5.527272727,FALSE,,,,,,FALSE
2926944,,,,,,,FALSE,,,,,,FALSE,,,,,6.34,FALSE
2927067,,,,,,,FALSE,,,,,,FALSE,,,,6.190909091,5.78,FALSE
2937891,,,,,,,FALSE,,,,,,FALSE,,,6.631818182,6.908333333,7,FALSE
2938137,,,,,,,FALSE,,6.790909091,6.564666667,6,6.054545455,FALSE,,,,,,FALSE
2938260,,,,,,,FALSE,,,,,,FALSE,,,6.858181818,6.707692308,6.981818182,FALSE
2938629,,5.155454545,6.487333333,6.022222222,5.090909091,,FALSE,,,,,6.463636364,FALSE,,,,,,FALSE
2942934,,7.490909091,7.721333333,7.044444444,7.13,7.22,FALSE,,,,,,FALSE,,,,,,FALSE
2948838,,5.581818182,,,,,FALSE,,,6.262,5.727272727,6.3,FALSE,,,,,,FALSE
2949207,,,,,,,FALSE,,7.269090909,7.126,6.346153846,6.176923077,FALSE,,,,,,FALSE
2949699,,,,,,,FALSE,,,,,,FALSE,,,6.548181818,7.008333333,6.927272727,FALSE
2950068,,,6.363333333,5.777777778,5.690909091,,FALSE,,7.750909091,,,6.5,FALSE,,,,,,FALSE
2950437,,7.015454545,6.318666667,,,,FALSE,,,,6.2,6.045454545,FALSE,,,,,,FALSE
2950929,,,,,,,FALSE,,,,5.4375,,FALSE,,,6.491818182,6.915384615,6.933333333,FALSE
2951298,,6.880909091,6.086,,,,FALSE,,,,5.925,6,FALSE,,,,,,FALSE
2951667,,,,,,,FALSE,,5.584545455,,5.71,6.37,FALSE,,,,6.008333333,6.2,FALSE
2951913,,8.289090909,8.280666667,7.677777778,7.572727273,7.716666667,FALSE,,,,,,FALSE,,,,,,FALSE
2952159,,,,,,,FALSE,,6.271818182,6.43,6.066666667,6.016666667,FALSE,,,,,,FALSE
2952282,,7.330909091,6.946666667,6.622222222,7.027272727,7.258333333,FALSE,,,,,,FALSE,,,,,,FALSE
